"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"429","26/03/2020 18:29:32","2ee5c13f5e8f43ca61b8480b83963089","Aluno","Salinas","Casa",2,2,0,0,0,3,1,1,1,0
"431","26/03/2020 18:30:34","213142219cc0a476f70c7ba5d04063b3","Aluno","Porteirinha","Casa",1,4,1,1,0,5,2,0,2,0
"432","26/03/2020 18:30:58","f93b37d73e5ea6402bc229533d0f1541","Aluno","Januária","Casa",0,3,2,0,1,3,3,1,0,0
"433","26/03/2020 18:31:10","1dd1b488519fdb023adc2f54328e606b","Aluno","Montes Claros","Casa",0,3,2,0,0,5,3,0,1,0
"434","26/03/2020 18:31:19","9e24f149410b4400075a94f043378570","Aluno","Montes Claros","Casa",1,3,1,0,3,5,2,0,0,0
"435","26/03/2020 18:32:23","c2fc47560c4a9ed9fb247ac7691faca6","Aluno","Porteirinha","Apartamento",0,1,0,0,0,2,1,0,1,0
"436","26/03/2020 18:32:35","ec41e8ad32c9ee462d9bf1ccfc36820d","Aluno","Porteirinha","Casa",1,1,0,1,1,2,1,0,0,0
"439","26/03/2020 18:37:00","89d7f1f0be81ca64aa3cca88a55ce034","Aluno","Januária","Casa",1,4,1,1,1,3,5,0,0,0
"440","26/03/2020 18:37:33","3784d76cbc4944e5d03fd1569c621cb1","Aluno","Montes Claros","Casa",0,3,4,3,4,6,3,3,0,0
"441","26/03/2020 18:38:41","6878c0358a00529f794da928bb189362","Aluno","Montes Claros","Casa",0,2,0,0,1,2,2,0,0,2
"443","26/03/2020 18:39:43","e4218ab31ef8eb37e1a6f2370675bfc6","Aluno","Montes Claros","Casa",2,2,2,1,1,2,6,0,0,1
"445","26/03/2020 18:41:41","c216deadaec5459be46b85ae2284a486","Aluno","Montes Claros","Apartamento",0,3,0,0,0,2,3,0,0,1
"446","26/03/2020 18:43:26","b5da8af22e8b7fd47070639e7a4787ef","Aluno","Porteirinha","Casa",0,3,2,0,0,3,3,0,0,1
"447","26/03/2020 18:47:53","4a643142bed7b84f22d56c4040820c2d","Aluno","Porteirinha","Casa",0,3,2,0,0,4,3,0,1,2
"448","26/03/2020 18:48:29","7ee5d3696e693595389ba51d3e6e490b","Professor","Diamantina","Apartamento",0,2,0,0,0,2,0,2,0,0
"449","26/03/2020 18:48:56","7e596283418229933fbb0ecf74971a7c","Aluno","Montes Claros","Casa",0,2,2,0,4,2,3,0,1,0
"450","26/03/2020 18:48:57","fe86c44ad7460ceb27df8955269511a9","Aluno","Porteirinha","República",0,6,0,0,0,5,4,0,1,4
"451","26/03/2020 18:49:04","03e19ff3b0bfc5730ad86aa4c6a53b09","Professor","Diamantina","Apartamento",0,2,2,0,2,3,2,1,0,0
"452","26/03/2020 18:49:05","6663913f259fb28cafc74f207eb200b9","Aluno","Januária","República",0,3,0,0,0,3,2,0,1,0
"453","26/03/2020 18:50:18","1f096f76535579c799704028db5bc1de","Aluno","Montes Claros","Casa",0,2,2,0,1,3,2,2,0,1
"454","26/03/2020 18:50:45","52d85ff48ee9b6cbce0801e7d17c4e48","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
"455","26/03/2020 18:51:03","a93eb8b686a7be9bff55ea910040fc95","Professor","Montes Claros","Casa",0,2,0,0,1,3,1,1,0,0
"456","26/03/2020 18:51:59","0ae2b2cd3f9d9e60d1dfadbe7821f51a","Aluno","Porteirinha","Casa",2,3,0,0,1,2,4,0,0,2
"457","26/03/2020 18:52:50","53f07b25264b4b38c09c8992d4f517f3","Aluno","Montes Claros","Casa",1,2,1,0,1,5,1,0,1,1
"458","26/03/2020 18:53:08","27b61733e74ecf4a891b98872835499a","Aluno","Januária","Casa",1,7,1,0,0,4,5,0,0,1
"462","26/03/2020 18:56:09","9b090e1b432b0fbeb04e40a40306902d","Aluno","Montes Claros","República",0,3,0,0,1,2,3,0,1,1
"463","26/03/2020 18:56:16","8fef6a4e96242777ddf3fe6b10ed9683","Aluno","Montes Claros","Apartamento",0,3,0,0,0,2,3,0,0,0
"464","26/03/2020 18:56:18","28f6b6e11150a2d02dd869639a64a44e","Aluno","Montes Claros","Casa",0,2,2,0,0,2,2,1,0,0
"465","26/03/2020 18:56:21","5ab803761a0954b1a7a5585e51b09b47","Aluno","Montes Claros","Casa",0,2,2,0,0,4,1,1,1,0
"466","26/03/2020 18:56:24","1f7557c1ac0fc5771466e06d787b68f9","Aluno","Montes Claros","Casa",0,4,0,0,0,2,2,0,1,1
"467","26/03/2020 18:56:26","2b7dcdc758305f2d71429973874221e0","Aluno","Montes Claros","Casa",0,1,2,0,2,2,1,0,0,0
"468","26/03/2020 18:56:29","060c3adbcb7f05be061c9d09b788ed4d","Aluno","Araçuaí","Casa",0,2,1,0,0,4,2,0,0,0
"469","26/03/2020 18:56:34","09c810d8105edf9a213e7791d8339c1c","Aluno","Montes Claros","Casa",0,2,2,0,1,3,2,0,0,0
"470","26/03/2020 18:56:45","3c95656b953586352c8c2f76808052e6","Aluno","Montes Claros","Casa",0,2,0,3,2,5,2,0,1,1
"471","26/03/2020 18:56:58","0c517d4ba631ef81b1ad3e817b62424b","Aluno","Montes Claros","Apartamento",0,3,2,0,0,3,3,1,1,1
